Index,Smiles
1,CC=NO
2,CC(N)=O
3,CNC=O
4,CON=C
5,NCCO
6,C1CC=NO1
7,O1C=CC=N1
8,O1C=CN=C1
9,CC(C)=NO
10,CCC=NO
11,CCC(N)=O
12,C=CNC=O
13,CC(N)CO
14,CCNC=O
15,CC(O)CN
16,CCON=C
17,CNCCO
18,CN(C)C=O
19,CNC(C)=O
20,CNCC=O
21,COCCN
22,CON=CC
23,NC1CC1O
24,NC1COC1
25,NCC1CO1
26,NCCCO
27,NC=CC=O
28,NC(=O)C=C
29,NC(=O)C#C
30,O=C1CCN1
31,OC1CNC1
32,O=C1CNC1
33,OCC1CN1
34,O=CC1CN1
35,O=CN1CC1
36,ON=CC=C
37,ON=CC#C
38,C1C2ON=CC12
39,C1COCCN1
40,C1CON=CC1
41,C1NC1C1CO1
42,C1NCC2OC12
43,C1OCC2NC12
44,C1ON=CC=C1
45,CC1=CC=NO1
46,CC1CC=NO1
47,CC1=NOC=C1
48,CC1CC(=O)N1
49,CC1CN1C=O
50,CC1C(N)C1O
51,CC1CNC1=O
52,CC1=CN=CO1
53,CC1(CN)CO1
54,CC1=CON=C1
55,CC1=COC=N1
56,CC1(CO)CN1
57,C=C1CON=C1
58,CC1CON=C1
59,CC1NC1CO
60,CC1NC1C=O
61,CC1NCC1O
62,CC1(N)CC1O
63,CC1NCC1=O
64,CC1=NC=CO1
65,CC1(N)COC1
66,CC1=NOCC1
67,CC1OC1CN
68,CC1OC1C#N
69,CC1OCC1N
70,CC1(O)CC1N
71,CC1(O)CNC1
72,CC=CC=NO
73,CC=CC(N)=O
74,CC(=C)C=NO
75,CC(=C)C(N)=O
76,CC(C=C)=NO
77,CC(C)C=NO
78,CC(C)C(N)=O
79,CC#CC=NO
80,CC#CC(N)=O
81,CCC(C)=NO
82,CCCC=NO
83,CCCC(N)=O
84,C=CCNC=O
85,CC=CNC=O
86,CC(=C)NC=O
87,CC(C=O)=CN
88,CC(C)(N)CO
89,CC(C)NC=O
90,CC(CN)CO
91,CCC(N)CO
92,CCCNC=O
93,CCC=NOC
94,C=C(C=O)C#N
95,C=CC(=O)C#N
96,CC(C=O)C#N
97,CC(C)(O)CN
98,CC(C)(O)C#N
99,CC(CO)C#N
100,CCC(=O)C#N
101,CCC(O)CN
102,CCC(O)C#N
103,C=CCON=C
104,CC(C)ON=C
105,CCC(=O)NC
106,CCCON=C
107,CC(N)C1CO1
108,CCNCCO
109,CC(N)CCO
110,CC(N)=CC=O
111,CC(N)C(C)O
112,CCN(C)C=O
113,CCNC(C)=O
114,CCNCC=O
115,CC(=NO)C#C
116,CC(=O)C1CN1
117,CC(O)C1CN1
118,CCOCCN
119,C=COCC#N
120,CC(=O)C=CN
121,CC(=O)CC#N
122,CC(O)CCN
123,CC(O)CC#N
124,CCOCC#N
125,CC(=O)N1CC1
126,CC(=O)NC=C
127,CCON=CC
128,CN1CC1CO
129,CN1CC1C=O
